Designator,Mid X,Mid Y,Rotation,Layer
C1,25.784,6.722,0.0,top
C10,25.289,7.23,180.0,bottom
C11,22.4312,27.9564,225.0,bottom
C12,6.48,4.944,270.0,bottom
C13,25.289,9.008,180.0,bottom
C14,16.47,31.878,315.0,bottom
C15,17.656,30.6742,315.0,bottom
C16,12.914,26.29,225.0,bottom
C17,14.184,27.56,225.0,bottom
C18,23.03042,10.963529,180.0,bottom
C19,16.724,22.226,225.0,bottom
C2,19.071631,23.496,135.0,bottom
C20,21.296,25.782,315.0,bottom
C21,16.8432,10.9892,180.0,bottom
C22,20.2214,26.8896,315.0,bottom
C3,25.289,3.674,180.0,bottom
C4,25.289,5.452,180.0,bottom
C5,17.994,24.573631,135.0,bottom
C6,21.453,16.399527,90.0,top
C7,23.752,19.168,180.0,top
C8,21.058899,12.7,0.0,top
C9,24.651,12.7,180.0,top
D1,9.104,9.272,270.0,top
D2,3.77,9.272,270.0,top
J1,17.5,4.0,0.0,top
J2,7.58,40.0,0.0,bottom
J3,17.74,38.736,0.0,top
J4,30.44,40.0,0.0,bottom
R1,7.326,9.272,270.0,top
R2,5.548,9.272,270.0,top
R3,18.418,4.182,270.0,bottom
R4,16.386,4.182,270.0,bottom
R5,8.258,4.944,270.0,bottom
SW1,27.646,2.414,180.0,top
SW2,7.326,2.414,180.0,top
U1,18.5704,15.7136,0.0,bottom
U2,17.74,27.0,135.0,top
Y1,23.752,16.628,270.0,top
Y2,22.854951,10.90395,0.0,top
